[2023-12-05 22:22:27,350] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2023-12-05 22:27:02,628] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,632] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,634] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,638] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,645] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,653] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,658] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,663] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,672] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,675] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,679] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,700] INFO [Broker id=0] Finished LeaderAndIsr request in 243ms correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2023-12-05 22:27:02,710] INFO [Broker id=0] Add 52 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 3 with correlation id 2 (state.change.logger)
